t,x0,x1
5.02,-0.00140381,0.101558
5.03,-0.000388231,0.102182
5.04,-0.000388231,0.102182
5.05,0.000633592,0.102489
5.06,0.000633592,0.102489
5.07,0.00165848,0.102477
5.08,0.00165848,0.102477
5.09,0.00268325,0.102147
5.1,0.00268325,0.102147
5.11,0.00370473,0.1015
5.12,0.00370473,0.1015
5.13,0.00471973,0.100538
5.14,0.00471973,0.100538
5.15,0.00572511,0.099265
5.16,0.00572511,0.099265
5.17,0.00671776,0.0976851
5.18,0.00671776,0.0976851
5.19,0.00769461,0.0958036
5.2,0.00769461,0.0958036
5.21,0.00865264,0.0936273
5.22,0.00865264,0.0936273
5.23,0.00958892,0.0911634
5.24,0.00958892,0.0911634
5.25,0.0105006,0.0884203
5.26,0.0105006,0.0884203
5.27,0.0113848,0.0854076
5.28,0.0113848,0.0854076
5.29,0.0122388,0.0821354
5.3,0.0122388,0.0821354
5.31,0.0130602,0.0786149
5.32,0.0130602,0.0786149
5.33,0.0138463,0.0748581
5.34,0.0138463,0.0748581
5.35,0.0145949,0.0708779
5.36,0.0145949,0.0708779
5.37,0.0153037,0.0666878
5.38,0.0153037,0.0666878
5.39,0.0159706,0.0623022
5.4,0.0159706,0.0623022
5.41,0.0165936,0.0577362
5.42,0.0165936,0.0577362
5.43,0.017171,0.0530053
5.44,0.017171,0.0530053
5.45,0.017701,0.0481257
5.46,0.017701,0.0481257
5.47,0.0181823,0.0431143
5.48,0.0181823,0.0431143
5.49,0.0186134,0.0379883
5.5,0.0186134,0.0379883
5.51,0.0189933,0.0327654
5.52,0.0189933,0.0327654
5.53,0.0193209,0.0274635
5.54,0.0193209,0.0274635
5.55,0.0195956,0.0221011
5.56,0.0195956,0.0221011
5.57,0.0198166,0.0166967
5.58,0.0198166,0.0166967
5.59,0.0199836,0.011269
5.6,0.0199836,0.011269
5.61,0.0200962,0.00583689
5.62,0.0200962,0.00583689
5.63,0.0201546,0.000419372
5.64,0.0201546,0.000419372
5.65,0.0201588,-0.00496466
5.66,0.0201588,-0.00496466
5.67,0.0201092,-0.0102963
5.68,0.0201092,-0.0102963
5.69,0.0200062,-0.015557
5.7,0.0200062,-0.015557
5.71,0.0198506,-0.020728
5.72,0.0198506,-0.020728
5.73,0.0196434,-0.0257911
5.74,0.0196434,-0.0257911
5.75,0.0193854,-0.0307285
5.76,0.0193854,-0.0307285
5.77,0.0190782,-0.0355224
5.78,0.0190782,-0.0355224
5.79,0.0187229,-0.0401559
5.8,0.0187229,-0.0401559
5.81,0.0183214,-0.0446122
5.82,0.0183214,-0.0446122
5.83,0.0178753,-0.0488753
5.84,0.0178753,-0.0488753
5.85,0.0173865,-0.0529298
5.86,0.0173865,-0.0529298
5.87,0.0168572,-0.0567608
5.88,0.0168572,-0.0567608
5.89,0.0162896,-0.0603544
5.9,0.0162896,-0.0603544
5.91,0.015686,-0.0636972
5.92,0.015686,-0.0636972
5.93,0.0150491,-0.0667767
5.94,0.0150491,-0.0667767
5.95,0.0143813,-0.0695814
5.96,0.0143813,-0.0695814
5.97,0.0136855,-0.0721004
5.98,0.0136855,-0.0721004
5.99,0.0129645,-0.0743241
6,0.0129645,-0.0743241
6.01,0.0122212,-0.0762437
6.02,0.0122212,-0.0762437
6.03,0.0114588,-0.0778513
6.04,0.0114588,-0.0778513
6.05,0.0106803,-0.0791402
6.06,0.0106803,-0.0791402
6.07,0.0098889,-0.0801048
6.08,0.0098889,-0.0801048
6.09,0.00908785,-0.0807404
6.1,0.00908785,-0.0807404
6.11,0.00828044,-0.0810435
6.12,0.00828044,-0.0810435
6.13,0.00747001,-0.0810119
6.14,0.00747001,-0.0810119
6.15,0.00665989,-0.0806442
6.16,0.00665989,-0.0806442
6.17,0.00585345,-0.0799404
6.18,0.00585345,-0.0799404
6.19,0.00505404,-0.0789016
6.2,0.00505404,-0.0789016
6.21,0.00426503,-0.0775299
6.22,0.00426503,-0.0775299
6.23,0.00348973,-0.0758287
6.24,0.00348973,-0.0758287
6.25,0.00273144,-0.0738025
6.26,0.00273144,-0.0738025
6.27,0.00199342,-0.071457
6.28,0.00199342,-0.071457
6.29,0.00127885,-0.0687987
6.3,0.00127885,-0.0687987
6.31,0.00059086,-0.0658356
6.32,0.00059086,-0.0658356
6.33,-6.74962e-05,-0.0625765
6.34,-6.74962e-05,-0.0625765
6.35,-0.000693262,-0.0590314
6.36,-0.000693262,-0.0590314
6.37,-0.00128358,-0.0552112
6.38,-0.00128358,-0.0552112
6.39,-0.00183569,-0.0511278
6.4,-0.00183569,-0.0511278
6.41,-0.00234697,-0.0467941
6.42,-0.00234697,-0.0467941
6.43,-0.00281491,-0.0422238
6.44,-0.00281491,-0.0422238
6.45,-0.00323715,-0.0374316
6.46,-0.00323715,-0.0374316
6.47,-0.00361146,-0.0324329
6.48,-0.00361146,-0.0324329
6.49,-0.00393579,-0.0272439
6.5,-0.00393579,-0.0272439
6.51,-0.00420823,-0.0218816
6.52,-0.00420823,-0.0218816
6.53,-0.00442705,-0.0163635
6.54,-0.00442705,-0.0163635
6.55,-0.00459068,-0.0107078
6.56,-0.00459068,-0.0107078
6.57,-0.00469776,-0.00493327
6.58,-0.00469776,-0.00493327
6.59,-0.00474709,0.000940906
6.6,-0.00474709,0.000940906
6.61,-0.00473768,0.00689507
6.62,-0.00473768,0.00689507
6.63,-0.00466873,0.0129092
6.64,-0.00466873,0.0129092
6.65,-0.00453964,0.0189631
6.66,-0.00453964,0.0189631
6.67,-0.00435001,0.0250362
6.68,-0.00435001,0.0250362
6.69,-0.00409965,0.0311078
6.7,-0.00409965,0.0311078
6.71,-0.00378857,0.0371572
6.72,-0.00378857,0.0371572
6.73,-0.00341699,0.0431636
6.74,-0.00341699,0.0431636
6.75,-0.00298536,0.0491062
6.76,-0.00298536,0.0491062
6.77,-0.0024943,0.0549645
6.78,-0.0024943,0.0549645
6.79,-0.00194465,0.060718
6.8,-0.00194465,0.060718
6.81,-0.00133747,0.0663466
6.82,-0.00133747,0.0663466
6.83,-0.000674006,0.0718304
6.84,-0.000674006,0.0718304
6.85,4.42988e-05,0.0771501
6.86,4.42988e-05,0.0771501
6.87,0.000815799,0.0822865
6.88,0.000815799,0.0822865
6.89,0.00163866,0.0872213
6.9,0.00163866,0.0872213
6.91,0.00251088,0.0919365
6.92,0.00251088,0.0919365
6.93,0.00343024,0.096415
6.94,0.00343024,0.096415
6.95,0.00439439,0.10064
6.96,0.00439439,0.10064
6.97,0.00540079,0.104596
6.98,0.00540079,0.104596
6.99,0.00644676,0.108269
7,0.00644676,0.108269
7.01,0.00752945,0.111643
7.02,0.00752945,0.111643
7.03,0.00864588,0.114706
7.04,0.00864588,0.114706
7.05,0.00979294,0.117447
7.06,0.00979294,0.117447
7.07,0.0109674,0.119852
7.08,0.0109674,0.119852
7.09,0.0121659,0.121914
7.1,0.0121659,0.121914
7.11,0.0133851,0.123622
7.12,0.0133851,0.123622
7.13,0.0146213,0.124968
7.14,0.0146213,0.124968
7.15,0.015871,0.125947
7.16,0.015871,0.125947
7.17,0.0171304,0.126552
7.18,0.0171304,0.126552
7.19,0.018396,0.12678
7.2,0.018396,0.12678
7.21,0.0196638,0.126627
7.22,0.0196638,0.126627
7.23,0.02093,0.126091
7.24,0.02093,0.126091
7.25,0.0221909,0.125172
7.26,0.0221909,0.125172
7.27,0.0234427,0.123871
7.28,0.0234427,0.123871
7.29,0.0246814,0.122189
7.3,0.0246814,0.122189
7.31,0.0259033,0.12013
7.32,0.0259033,0.12013
7.33,0.0271046,0.117699
7.34,0.0271046,0.117699
7.35,0.0282816,0.1149
7.36,0.0282816,0.1149
7.37,0.0294306,0.111741
7.38,0.0294306,0.111741
7.39,0.030548,0.10823
7.4,0.030548,0.10823
7.41,0.0316303,0.104376
7.42,0.0316303,0.104376
7.43,0.032674,0.10019
7.44,0.032674,0.10019
7.45,0.0336759,0.0956841
7.46,0.0336759,0.0956841
7.47,0.0346328,0.0908701
7.48,0.0346328,0.0908701
7.49,0.0355415,0.0857621
7.5,0.0355415,0.0857621
7.51,0.0363991,0.0803749
7.52,0.0363991,0.0803749
7.53,0.0372028,0.0747244
7.54,0.0372028,0.0747244
7.55,0.0379501,0.0688272
7.56,0.0379501,0.0688272
7.57,0.0386384,0.0627008
7.58,0.0386384,0.0627008
7.59,0.0392654,0.0563637
7.6,0.0392654,0.0563637
7.61,0.039829,0.049835
7.62,0.039829,0.049835
7.63,0.0403274,0.0431345
7.64,0.0403274,0.0431345
7.65,0.0407587,0.0362826
7.66,0.0407587,0.0362826
7.67,0.0411215,0.0293006
7.68,0.0411215,0.0293006
7.69,0.0414145,0.0222097
7.7,0.0414145,0.0222097
7.71,0.0416366,0.0150321
7.72,0.0416366,0.0150321
7.73,0.0417869,0.00779004
